"badge_id","badge_title","badge_description","badge_icon_url","badge_awarded_count","badge_activation_date","usage_count"
"1527","Welcome to the Community","Welcome to the SAP Community! Your journey and upskilling starts here.","https://community.sap.com/html/@7AB70E0A088F5C6208CCB6F961EDE2DD/badge_icons/Welcome.png","1028587","2024-01-27T01:50:52.782+01:00","1022412"
"1528","First Kudo Given","You gave your first kudo, thank you! What a great way to encourage good contributions from other members.","https://community.sap.com/html/@F06DE7BDE7F788072728BD2B91CB08F1/badge_icons/Kudo%20Given.png","163209","2024-01-27T01:50:57.373+01:00","153397"
"933","I Was Here","Carve your name on the SCN wall. Log in once.","https://community.sap.com/html/@9E6EA9C2282B0CECE128C5C9519005AF/badge_icons/i-was-here.png","122648","2024-01-27T01:03:13.303+01:00","106780"
"1529","First Reply","You posted your first reply! Keep it up!","https://community.sap.com/html/@A45DC19C2488AC47015129F7AC4BE0F0/badge_icons/Reply%20Given.png","99696","2024-01-27T01:51:02.450+01:00","99572"
"245","Hello World!","Say hello to the SAP Community! Personalize your community experience by following content, tags, and members.","https://community.sap.com/html/@90D6B1306A2BBDB6130C01B7B36E14F9/badge_icons/HelloWorld!.png","85664","2024-01-26T22:38:18.136+01:00","82377"
"1531","First Post","You created your first post. Congratulations, now watch out for replies!","https://community.sap.com/html/@EEC0DBE6625DB6A57036B78CDFE76DB2/badge_icons/Thread%20Started.png","81713","2024-01-27T01:51:07.448+01:00","81626"
"1530","First Kudo Received","You got your first kudo! Great job, keep contributing good content!","https://community.sap.com/html/@24016C5202F9DF60E2A286652F9D71FF/badge_icons/Kudo%20Received.png","82272","2024-01-27T01:51:13.498+01:00","76137"
"9","openSAP Learner","You enrolled in a course on openSAP, SAP's free open online course provider, to start your learning journey!","https://community.sap.com/html/@87A4DD51FAAA1DD4B5E7F81EDE61909B/badge_icons/manual_openSAPLearner.png","59826","2024-01-26T22:46:20.552+01:00","57640"
"314","SAP TechEd in 2020 Registered Attendee","Registered to attend SAP TechEd in 2020","https://community.sap.com/html/@03CE54BC96E697DEF542272D0BD23D80/badge_icons/manual_SAPTechEdin2020RegisteredAttendee.png","43239","2024-01-26T23:09:32.187+01:00","42369"
"681","Glass","You achieved level: Glass","https://community.sap.com/html/@E9DD8A9BBD9239AD7359B989FC323F59/badge_icons/glass.png","36717","2024-01-27T00:43:07.344+01:00","35639"
"1139","Interested","5 visits","https://community.sap.com/html/@18BD4DB2AF1F3660C51F8DC2606E19BE/badge_icons/manual_interested.png","29492","2024-01-27T01:12:53.415+01:00","29315"
"292","SAP TechEd in 2021 Registered Attendee","Registered to attend SAP TechEd in 2021","https://community.sap.com/html/@630D9BA6BEFBA17D3E4DC3369423A392/badge_icons/manual_SAPTechEdin2021RegisteredAttendee.png","26559","2024-01-26T23:09:07.150+01:00","26182"
"3","openSAP Novice","You explored new skills and successfully completed one openSAP course to earn your first Record of Achievement.","https://community.sap.com/html/@D3D85A638DF6EDB35D1D467A7298CE7B/badge_icons/manual_openSAPNovice.png","26766","2024-01-26T22:46:48.287+01:00","25509"
"270","SAP TechEd in 2022 Registered Attendee","Registered to attend SAP TechEd in 2022.","https://community.sap.com/html/@E9B2810B3FD9D88FFA191B0D19473561/badge_icons/manual_SAPTechEdin2022RegisteredAttendee.png","25161","2024-01-26T23:08:36.018+01:00","24889"
"1511","SAP TechEd in 2023 Registered Attendee","Registered to attend SAP TechEd in 2023.","https://community.sap.com/html/@55A26AE05D65095A1397D9932CA829A7/badge_icons/TechEd_2023_Registered.png","23396","2024-01-26T23:08:28.209+01:00","23274"
"1532","First Solution","Your answer was accepted as the solution! Congratulations, may it be the first of many.","https://community.sap.com/html/@7A21F59734A18B3175B79FE605252C53/badge_icons/Answer%20Accepted.png","18061","2024-01-27T01:51:18.503+01:00","18062"
"1584","SAP TechEd in 2024 Registered Attendee","Registered to attend SAP TechEd in 2024.","https://community.sap.com/html/@41A5DEA92E5BADC2DB2B886DE46B343D/badge_icons/TechEd24-attendee.png","16340","2024-10-11T17:03:14.915+02:00","16331"
"4","openSAP Emerging Star","You successfully completed two openSAP courses and you start to shine like the star that you are! Look at all those new skills!","https://community.sap.com/html/@49CEA5E33A84B29C8BC4358CC1655AE2/badge_icons/manual_openSAPEmergingStar.png","16847","2024-01-26T22:47:05.860+01:00","15965"
"682","Aluminum","You achieved level: Aluminum","https://community.sap.com/html/@19316949C8D49B44071DA299D439D779/badge_icons/aluminum.png","16028","2024-01-27T00:42:56.609+01:00","15355"
"1810","SAP TechEd in 2025 Registered Attendee","Registered to attend SAP TechEd in 2025.","https://community.sap.com/html/@C6BBF8D59D5014497FCA73246AEDE0EC/badge_icons/TechEd25-attendee.png","13905","2025-06-05T21:17:18.784+02:00","14013"
"912","Ready (Set Go!)","It's time to show us who you are. Fill out your user profile and add an avatar.","https://community.sap.com/html/@14E9E1FFD011F9F71CA81FF64B3A7303/badge_icons/ready-set-go.png","16151","2024-01-27T01:07:56.356+01:00","13832"
"244","Hello It's Me","Get the most out of the community by telling us about yourself. Fill out or update the basic elements of your profile. Upload a new profile photo, or update your existing one. Enter some information in 'About Me,' or update your existing information. Select (or update) your area of expertise or an area you feel knowledgeable about. Alternatively, add (or update) your spoken language, or share your Twitter profile or LinkedIn profile or any other URL in the Elsewhere section (or update that section). Start following other members, or follow an additional member.","https://community.sap.com/html/@B9DE493C8EC75F7B3D4B15D134E5CC15/badge_icons/HelloIt'sMe.png","12222","2024-01-26T22:38:25.651+01:00","11600"
"145","Blogger","Published your first blog post. (If you don't have the right permissions to submit your draft, complete the Tour the SAP Community 2023 tutorial to learn about our blogging processes and to trigger the necessary permission change.)","https://community.sap.com/html/@A58027AD35A8B0873833B1B3A9CCD778/badge_icons/ComMissions-BloggerJourney_Blogger_75.png","11987","2024-01-26T22:17:34.033+01:00","11365"
"150","Solver","Learn about proper community behavior by completing the Tour the SAP Community 2023 tutorial, then celebrate when one of your answers is accepted or you receive 3 up-votes on any combination of your answers.","https://community.sap.com/html/@8360C8E84FE4D2929016BA4CE58446AD/badge_icons/ComMissions-AnswerJourney_Solver_75.png","11841","2024-01-26T22:16:33.703+01:00","10974"
"1466","#FFC0CB - Devtoberfest 2023 - Set Up SAP Business Application Studio for Development","As part of Devtoberfest 2023 - completed Scavenger Hunt Tutorial: Set Up SAP Business Application Studio for Development","https://community.sap.com/html/@93395544B05D1D34D83E270F5E239341/badge_icons/fest-hex-FFC0CB.png","9360","2024-01-26T23:52:05.486+01:00","9270"
"936","First Steps","Come out of the shadows and start engaging with the community! Provide feedback on the content you read.","https://community.sap.com/html/@6F27E21C700F3B9A7C1153D47D014EA2/badge_icons/first-steps.png","10316","2024-01-27T01:03:20.747+01:00","8922"
"1137","Involved","First question or comment","https://community.sap.com/html/@AC07F8CD6C2F31AE09DBE8703FB949E9/badge_icons/manual_involved.png","8520","2024-01-27T01:12:42.408+01:00","8474"
"89","Create an SAP BTP ABAP Environment Trial User",""" Got started with SAP BTP, ABAP Environment by creating a trial user and ABAP cloud project. ""","https://community.sap.com/html/@999C069675A0AF8BA2BC6F46CDBE74FD/badge_icons/manual_CreateaSAPBTPABAPEnvironmentTrialUser.png","8497","2024-01-26T21:47:14.558+01:00","8337"
"1","I Successfully Completed an OpenSAP Course","Your studies paid off! You earned a Record of Achievement in an openSAP course.","https://community.sap.com/html/@69F4445E2ADBE5C4FBC7457F9F952FE4/badge_icons/manual_ISuccessfullyCompletedanOpenSAPCourse.png","9175","2024-01-26T22:47:55.429+01:00","8278"
"247","I Voted!","Make your opinion count by reading and then voting on a question and an answer. Vote on 1 questionVote on 1 answer","https://community.sap.com/html/@098CE222DFDD208977F4FD3E142507D6/badge_icons/IVoted.png","8162","2024-01-26T22:37:52.428+01:00","7872"
"680","Steel","You achieved level: Steel","https://community.sap.com/html/@B1A4B62B7EA19C256C8CC432A637C791/badge_icons/steel.png","8141","2024-01-27T00:42:42.465+01:00","7678"
"1716","#F48FDD - Devtoberfest 2024 - Set Up SAP Build Work Zone, standard edition Using a Trial Account","As part of Devtoberfest 2024 - Completed Tutorial: Set Up SAP Build Work Zone, standard edition Using a Trial Account","https://community.sap.com/html/@7B5446A2DC4D463601850E8C43F96047/badge_icons/fest-hex-F48FDD%20Devtoberfest%202024.png","7546","2024-10-02T09:15:19.139+02:00","7536"
"1439","#8B2252 - Devtoberfest 2023 - Create a Dev Space for SAP Fiori Apps","As part of Devtoberfest 2023 - completed Tutorial: Create a Dev Space for SAP Fiori Apps","https://community.sap.com/html/@B04C5ECCC3B79B0C6A93164018CA0259/badge_icons/fest-hex-8B2252.png","6419","2024-01-26T23:38:42.966+01:00","6375"
"16","SFX Accredited","The SAP SuccessFactors eXpert (SFX) Accreditation Program is a set of exams to accredit trained and knowledgeable customer administrators in SAP SuccessFactors products.","https://community.sap.com/html/@1FDD4E2BA1F6E0C8D2BA0131F07BB81C/badge_icons/manual_sfx_accredited.png","6286","2024-01-26T20:47:52.224+01:00","6275"
"493","#DD2F29 - Devtoberfest 2022 - Set Up SAP Business Application Studio for Development","As part of Devtoberfest 2022 - completed tutorial: Set Up SAP Business Application Studio for Development","https://community.sap.com/html/@00E430CBCCE036DBB6F0BD385701611E/badge_icons/2022-dev-DD2F29.png","6254","2024-01-27T00:10:53.602+01:00","6176"
"11","Tour the SAP Community 2021","Took a tour of the SAP Community (by completing the Tour the SAP Community tutorial). Learned about profile settings, the SAP Community Rules of Engagement, creating questions and blog posts, and following content, tags, and people.","https://community.sap.com/html/@F2109906A7C25F23F95FF4B830D45B15/badge_icons/manual_TourtheSAPCommunity.png","6740","2024-01-26T20:48:34.763+01:00","6145"
"1188","#DAA520 - Devtoberfest 2023 - Create an SAP BTP ABAP Environment Trial User","As part of Devtoberfest 2023 - completed Tutorial: Create an SAP BTP ABAP Environment Trial User","https://community.sap.com/html/@BC32B274995441F0F007C20F8FBC0F72/badge_icons/fest-hex-DAA520.png","6237","2024-01-26T23:47:02.855+01:00","6074"
"1125","Member","Contributed and earned a reputation as a trusted peer.","https://community.sap.com/html/@C4630355D992AAD972E8E33ECC26DC88/badge_icons/s4hana_reputation_member.png","6078","2024-01-27T01:50:32.213+01:00","5733"
"911","Ready Set (Go!)","Get ready to contribute! Read and bookmark the SCN Rules of Engagement, and read about how to search. Prerequisite mission: Ready (Set Go!)","https://community.sap.com/html/@BD86F6273837EF6463B61DC47E13C3E3/badge_icons/ready-set-go-2.png","6406","2024-01-27T01:07:48.690+01:00","5554"
"1416","#00FA9A - Devtoberfest 2023 - Set Up SAP Build Work Zone, standard edition Using a Trial Account","As part of Devtoberfest 2023 - completed Tutorial: Set Up SAP Build Work Zone, standard edition Using a Trial Account","https://community.sap.com/html/@B273EA4B808302231C48D4751FFDD26D/badge_icons/fest-hex-00FA9A.png","5685","2024-01-26T23:28:17.441+01:00","5553"
"1191","#ED9121 - Devtoberfest 2023 - Get to Know the ABAP RESTful Application Programming Model","As part of Devtoberfest 2023 - completed Tutorial: Get to Know the ABAP RESTful Application Programming Model","https://community.sap.com/html/@261981C89A17BC859B5486F5E18BD7A3/badge_icons/fest-hex-ED9121.png","5547","2024-01-26T23:48:00.479+01:00","5364"
"1143","1 Year PDC","1 Year PDC","https://community.sap.com/html/@7B67403F6E1F85C887A04B809B24135F/badge_icons/manual_1-year-pdc.png","5189","2024-01-27T01:17:08.227+01:00","5177"
"1843","2 Answers Accepted as Solutions","You have at least 2 answers accepted as solutions, impressive! Keep contributing good answers!","https://community.sap.com/html/@BF3021FAD63C39C178EFD32242EB703A/badge_icons/2-accepted-answers.png","4915","2025-08-19T18:46:45.862+02:00","4954"
"740","#993B9B - Devtoberfest 2021 - View the SAP BTP from 10,000 Meters","As part of Devtoberfest 2021 - completed tutorial: View the SAP BTP from 10,000 Meters","https://community.sap.com/html/@74EF8485C8253B4635E086B7D2896CF7/badge_icons/993B9B-devtoberfest-2021.png","5005","2024-01-27T00:26:26.487+01:00","4584"
"556","#C6D3DE - Devtoberfest 2022 - Create a Dev Space for SAP Fiori Apps","As part of Devtoberfest 2022 - completed tutorial: Create a Dev Space for SAP Fiori Apps","https://community.sap.com/html/@9A2E325A43343480A54A7E9F2D755E44/badge_icons/2022-dev-C6D3DE.png","4497","2024-01-27T00:08:52.271+01:00","4463"
"1637","#C3516F - Devtoberfest 2024 - Subscribe to SAP Build Process Automation","As part of Devtoberfest 2024 - Completed Tutorial: Subscribe to SAP Build Process Automation","https://community.sap.com/html/@A729F39E65D1CABD2564CD76B7E8B5A7/badge_icons/fest-hex-C3516F%20Devtoberfest%202024.png","4443","2024-09-30T09:21:23.620+02:00","4441"
"1664","#81A7F8 - Devtoberfest 2024 - Create an ABAP Project in ABAP Development Tools (ADT)","As part of Devtoberfest 2024 - Completed Tutorial: Create an ABAP Project in ABAP Development Tools (ADT)","https://community.sap.com/html/@7E9A43E300F3C22BA72D77A975FD7360/badge_icons/fest-hex-81A7F8%20Devtoberfest%202024.png","4350","2024-10-02T09:13:06.641+02:00","4344"
"146","Avid Blogger","""Prerequisite mission: BloggerThis blogging thing is kinda cool! Published some more blog posts that contained good content and that attracted good feedback: Created 4 more blog postsReceived good feedback on any combination of blog postsStimulated conversations""","https://community.sap.com/html/@A50A04656CBC0E23F8465E7301BA5189/badge_icons/ComMissions-BloggerJourney_AvidBlogger_75.png","4366","2024-01-26T22:17:19.121+01:00","4245"
